ontology,model,input_modality,checkpoint,split_label,bin_type,bin,examples,Micro_Fmax,Macro_Fmax,Macro_AUROC,Micro_AUROC,Macro_AUPRC,Micro_AUPRC,Smin
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,>=6_bits,351,0.14246478244646407,0.2504435656917088,0.5893988811984072,0.7493101893894714,0.1681987040633184,0.047734572129160165,54.548038475130355
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,no_positive_terms,219,0.0,0.0,nan,nan,0.0,0.5,0.0
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,30-40%,80,0.0764451012568426,0.7288562778261642,0.5064067582610646,0.7265568613711737,0.618333708940862,0.03384283157553035,97.31242476852222
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,40-60%,5,0.31999999995968,0.9629629629131687,0.0,0.7125156581885519,0.8597222222222222,0.07762897213228105,1.707334041595459
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,<30%,26,0.13879408415192362,0.7766256056688914,0.5624546114742193,0.8220675477437993,0.5942924044858757,0.04053844130159857,31.824695981465855
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,>=60%,31,0.22302158269192845,0.99999999995,1.0,0.6569527199595399,1.0,0.041266278820270896,30.164499698146695
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,no_hit,612,0.05533673715018204,0.11696427011851068,0.60233981732624,0.7221830220744219,0.04277428908666173,0.016445233913459693,17.35572174571042
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,2-4_bits,41,0.33254156765110326,0.5834952692752534,0.3580721413233729,0.9463671549088748,0.4809517741235856,0.15203537831384498,6.845321739007791
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,4-6_bits,43,0.08876560328496444,0.46147093753595886,0.5289552060535097,0.6237876940774287,0.2451858195389124,0.019583283659789605,13.308362988538521
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,<2_bits,100,0.17928902622813558,0.42049871206101613,0.18636363636363634,0.8108346651430514,0.32460976994905405,0.05811689982357638,1.707334041595459
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,>=6_bits,351,0.07555587532668191,0.3213471344583694,0.5881617709124224,0.7128089873548894,0.1944157723137725,0.03259601042516523,54.22543380146112
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_1103/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,no_positive_terms,219,0.0,0.0,nan,nan,0.0,0.5,0.0
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,30-40%,80,0.6623544630834866,0.8097530305947487,0.7807970459592802,0.9416360214466991,0.6979214149566424,0.6334740262670762,61.089684666597165
molecular_function,GAT,seq_only,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/seq_only/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,40-60%,5,0.6666666666180555,0.9629629629131687,0.0,0.7662709002777626,0.85,0.5526486177569684,1.1518559455871582
