evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,biological_process,GAT,full,ic,4-6_bits,Macro_Fmax,16,ok,5,0.6590483474459534,0.0803093763363715,0.6457341269458481,0.5632612179114105,0.7849567099121928
test,biological_process,GAT,full,ic,4-6_bits,Micro_AUPRC,16,ok,5,0.059905025789664036,0.05957313266761422,0.0311569712583894,0.0104229630237057,0.1572794191221014
test,biological_process,GAT,full,ic,4-6_bits,Micro_AUROC,16,ok,5,0.8925582184979737,0.05502998108331338,0.9090033558628304,0.7976975566491189,0.9410799095902954
test,biological_process,GAT,full,ic,4-6_bits,Micro_Fmax,16,ok,5,0.12340656333477748,0.08198768384116059,0.1176470587790849,0.0313832508909143,0.2395833332920139
test,biological_process,GAT,full,ic,4-6_bits,Smin,16,ok,5,27.922704214369503,1.7713334751756318,29.06587691605091,25.03552023310156,29.06587691605091
test,biological_process,GAT,full,ic,>=6_bits,Macro_AUPRC,522,ok,5,0.12967151634795143,0.011007805098692676,0.1255841111554277,0.1185713921168594,0.146555379087681
test,biological_process,GAT,full,ic,>=6_bits,Macro_AUROC,522,ok,5,0.6470440762587287,0.019668655405055965,0.6336008318305187,0.6316746139971456,0.6693434638817282
test,biological_process,GAT,full,ic,>=6_bits,Macro_Fmax,522,ok,5,0.23196693779424987,0.015329770405324248,0.2330940764125823,0.2109326158465106,0.2483352512854118
test,biological_process,GAT,full,ic,>=6_bits,Micro_AUPRC,522,ok,5,0.027191392963358818,0.006331174563596276,0.0262890168054977,0.0201147351638099,0.0372223881208422
test,biological_process,GAT,full,ic,>=6_bits,Micro_AUROC,522,ok,5,0.6723582624946315,0.020407263172112028,0.67553356848048,0.639884908211354,0.69653880123799
test,biological_process,GAT,full,ic,>=6_bits,Micro_Fmax,522,ok,5,0.06524305873138236,0.014322931752737382,0.0624238447629463,0.0471684501469058,0.0862663126059844
test,biological_process,GAT,full,ic,>=6_bits,Smin,522,ok,5,144.79117233556164,0.07777246337245543,144.81799916728866,144.7053827776331,144.87676511994928
test,biological_process,GAT,full,ic,no_positive_terms,Macro_AUPRC,206,no positive terms,0,,,,,
test,biological_process,GAT,full,ic,no_positive_terms,Macro_AUROC,206,no positive terms,0,,,,,
test,biological_process,GAT,full,ic,no_positive_terms,Macro_Fmax,206,no positive terms,0,,,,,
test,biological_process,GAT,full,ic,no_positive_terms,Micro_AUPRC,206,no positive terms,0,,,,,
test,biological_process,GAT,full,ic,no_positive_terms,Micro_AUROC,206,no positive terms,0,,,,,
test,biological_process,GAT,full,ic,no_positive_terms,Micro_Fmax,206,no positive terms,0,,,,,
test,biological_process,GAT,full,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,homology,30-40%,Macro_AUPRC,80,ok,5,0.35699723310315984,0.04443481689460897,0.346436401211203,0.3161243246617577,0.4205186124247841
test,biological_process,GAT,seq_only,homology,30-40%,Macro_AUROC,80,ok,5,0.5345638365612517,0.0991503992948183,0.5374919067923026,0.3868561927137719,0.6404476865894287
test,biological_process,GAT,seq_only,homology,30-40%,Macro_Fmax,80,ok,5,0.44779949652866724,0.06664306058428202,0.4363530201601982,0.3738996924412403,0.5384164445566954
test,biological_process,GAT,seq_only,homology,30-40%,Micro_AUPRC,80,ok,5,0.06310086089684523,0.026643535495496737,0.061828084839445,0.0314527409209267,0.1002331664325056
test,biological_process,GAT,seq_only,homology,30-40%,Micro_AUROC,80,ok,5,0.8219982726750306,0.050618652851759094,0.839823320885791,0.7470784171593132,0.8715634652469815
test,biological_process,GAT,seq_only,homology,30-40%,Micro_Fmax,80,ok,5,0.13733634120796706,0.041967016147856716,0.1471752125651254,0.0803795701495589,0.1895870735764456
test,biological_process,GAT,seq_only,homology,30-40%,Smin,80,ok,5,124.47212211604706,0.25067748372113424,124.5814477533102,124.02377816859592,124.5924891517088
test,biological_process,GAT,seq_only,homology,40-60%,Macro_AUPRC,5,low support,5,0.9400000000000001,0.1341640786499874,1.0,0.7,1.0
test,biological_process,GAT,seq_only,homology,40-60%,Macro_AUROC,5,low support,5,0.9333333333333333,0.149071198499986,1.0,0.6666666666666666,1.0
test,biological_process,GAT,seq_only,homology,40-60%,Macro_Fmax,5,low support,5,0.955555555507037,0.09938079899667797,0.99999999995,0.7777777777351852,0.99999999995
test,biological_process,GAT,seq_only,homology,40-60%,Micro_AUPRC,5,low support,5,0.0030052043158623,0.000733216236695005,0.0030316684941224,0.002080312680002,0.0038454115559689
test,biological_process,GAT,seq_only,homology,40-60%,Micro_AUROC,5,low support,5,0.8522777980609305,0.03694923415096755,0.8516388787473125,0.8002616526712911,0.8982698470650278
test,biological_process,GAT,seq_only,homology,40-60%,Micro_Fmax,5,low support,5,0.01010523665535268,0.0022491319149590683,0.0105726872230962,0.0074953154267396,0.0131723380880546
test,biological_process,GAT,seq_only,homology,40-60%,Smin,5,low support,5,16.80503976095718,16.771946531165064,9.304397249221802,9.304397249221802,46.80760980789868
test,biological_process,GAT,seq_only,homology,<30%,Macro_AUPRC,26,ok,5,0.7042530116979636,0.035940101399962045,0.708397568533974,0.649536682314228,0.7425477758520734
test,biological_process,GAT,seq_only,homology,<30%,Macro_AUROC,26,ok,5,0.7823826500297089,0.027997294093392307,0.7867647058823529,0.747326203208556,0.8183303624480096
test,biological_process,GAT,seq_only,homology,<30%,Macro_Fmax,26,ok,5,0.853143444743177,0.015335812749269491,0.8532103190457547,0.8325974025502473,0.8755039078090783
test,biological_process,GAT,seq_only,homology,<30%,Micro_AUPRC,26,ok,5,0.03533368140895648,0.011193117579799333,0.0401113492637993,0.0212640040939514,0.0483682199331709
test,biological_process,GAT,seq_only,homology,<30%,Micro_AUROC,26,ok,5,0.8732129592263773,0.024875381684558898,0.8694872283502227,0.8495670231369383,0.9110865430604131
test,biological_process,GAT,seq_only,homology,<30%,Micro_Fmax,26,ok,5,0.08035871643050678,0.02080142317738241,0.0726947179820083,0.0540858318551158,0.1021065675170959
test,biological_process,GAT,seq_only,homology,<30%,Smin,26,ok,5,71.12284396805772,1.3181619498281971,71.63857625539487,68.77518148778583,71.92330958631818
test,biological_process,GAT,seq_only,homology,>=60%,Macro_AUPRC,31,ok,5,0.6447094575827556,0.06588473100139376,0.6587073905677014,0.5713730386961032,0.7285708868257743
test,biological_process,GAT,seq_only,homology,>=60%,Macro_AUROC,31,ok,5,0.4182766696277154,0.12596488376657017,0.3757570863280304,0.3126463700234191,0.6056771380117904
test,biological_process,GAT,seq_only,homology,>=60%,Macro_Fmax,31,ok,5,0.8061500299959006,0.04612423025929829,0.8223215122934899,0.726717119556062,0.8451543482435672
test,biological_process,GAT,seq_only,homology,>=60%,Micro_AUPRC,31,ok,5,0.036016470157341704,0.011987147686009203,0.0341918014693468,0.0262281244378431,0.0559264501840288
test,biological_process,GAT,seq_only,homology,>=60%,Micro_AUROC,31,ok,5,0.7514774543807982,0.04683857103165595,0.7703861324163038,0.6959405113717556,0.793768084818123
test,biological_process,GAT,seq_only,homology,>=60%,Micro_Fmax,31,ok,5,0.10002949006420465,0.03714088647183489,0.0823905750027609,0.0717727196924938,0.1590420632051189
test,biological_process,GAT,seq_only,homology,>=60%,Smin,31,ok,5,225.90936612506007,0.17398171874987156,225.98717311505348,225.5981381650865,225.98717311505348
test,biological_process,GAT,seq_only,homology,no_hit,Macro_AUPRC,612,ok,5,0.10624655887804291,0.015587719049497371,0.1077123117667129,0.0891977129161227,0.1243874571159158
test,biological_process,GAT,seq_only,homology,no_hit,Macro_AUROC,612,ok,5,0.6886780290328881,0.017201047277147496,0.688168842200427,0.6649331771039362,0.7086508453574137
test,biological_process,GAT,seq_only,homology,no_hit,Macro_Fmax,612,ok,5,0.20620119922334404,0.022406038704547247,0.2076859715689117,0.1833551863307922,0.2396583498918607
