evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,cellular_component,GCN,struct_only,homology,40-60%,Smin,5,low support,5,40.80614130318328,0.13467409736740746,40.86636939048767,40.56522895396572,40.86636939048767
test,cellular_component,GCN,struct_only,homology,<30%,Smin,26,ok,5,2.518836468458176,0.0,2.518836468458176,2.518836468458176,2.518836468458176
test,cellular_component,GCN,struct_only,homology,>=60%,Smin,31,ok,5,93.69977021730861,2.740683780928791,94.9254412651062,88.79708602611828,94.9254412651062
test,cellular_component,GCN,struct_only,homology,no_hit,Smin,612,ok,5,28.09085986446711,0.0,28.09085986446711,28.09085986446711,28.09085986446711
test,cellular_component,GCN,struct_only,ic,2-4_bits,Smin,71,ok,5,13.246132286501602,0.0,13.246132286501602,13.246132286501602,13.246132286501602
test,cellular_component,GCN,struct_only,ic,4-6_bits,Smin,89,ok,5,26.642881410845213,0.0,26.64288141084521,26.64288141084521,26.64288141084521
test,cellular_component,GCN,struct_only,ic,<2_bits,Smin,22,ok,5,2.549207931215113,0.0,2.549207931215113,2.549207931215113,2.549207931215113
test,cellular_component,GCN,struct_only,ic,>=6_bits,Smin,341,ok,5,56.120098227539515,0.3931971530252768,56.2959413400843,55.41672577736039,56.2959413400843
test,cellular_component,GCN,struct_only,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,Hybrid,full,homology,30-40%,Smin,80,ok,5,22.726677509645484,1.1150202388893613,22.84436833099969,21.03925616713828,24.11147929138964
test,cellular_component,Hybrid,full,homology,40-60%,Smin,5,low support,5,38.11708202993448,1.8303654037639558,38.14904360751084,36.04311609523892,40.86636939048767
test,cellular_component,Hybrid,full,homology,<30%,Smin,26,ok,5,2.9001738191902557,0.35688665329565133,3.033700779848502,2.518836468458176,3.2527811878042505
test,cellular_component,Hybrid,full,homology,>=60%,Smin,31,ok,5,22.82944554481143,8.784496385650293,24.79065715954165,8.016570600662426,29.437945865470592
test,cellular_component,Hybrid,full,homology,no_hit,Smin,612,ok,5,25.520667512472475,0.6477274768860705,25.2826314600325,24.9078743446718,26.22370442815191
test,cellular_component,Hybrid,full,ic,2-4_bits,Smin,71,ok,5,11.149605858824469,0.4970450412568264,11.277631828978718,10.313925894277972,11.583611368138264
test,cellular_component,Hybrid,full,ic,4-6_bits,Smin,89,ok,5,24.5717486151231,0.8782836446763196,24.37747272357633,23.44994858137573,25.79642143658721
test,cellular_component,Hybrid,full,ic,<2_bits,Smin,22,ok,5,1.9881126827282423,0.2286397475958413,2.0336503121031373,1.7362495653415393,2.2428915851307143
test,cellular_component,Hybrid,full,ic,>=6_bits,Smin,341,ok,5,45.62380038680591,3.9728296778935865,43.346235466534,42.69809143016907,52.08773782547347
test,cellular_component,Hybrid,full,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,Hybrid,seq_only,homology,30-40%,Smin,80,ok,5,22.98117611874047,1.7736227837675327,22.784386680617484,20.742758192397204,25.556886432965392
