trial,ontology,learning_rate,weight_decay,dropout,hidden_dim,batch_size,gradient_clip,patience,loss,focal_gamma,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin
trial_014,molecular_function,5.462490060476474e-05,1.0333998491320167e-07,0.2,512,32,5.0,10,Focal,1.0,0.3764229698957922,0.34949680283439927,0.30010026063270934,0.2890380974425773,0.7733695501202674,0.7118163064968007,24.564067408305903
trial_015,biological_process,0.00045131410564700424,0.00043748328296366727,0.2,512,32,5.0,9,BCE,,0.2315921963495236,0.28124810548475854,0.18405002413214366,0.20634124596960876,0.819520358271183,0.6722864063477688,42.70234734622417
trial_015,cellular_component,0.00045131410564700424,0.00043748328296366727,0.2,512,32,5.0,9,BCE,,0.3799850503446612,0.3339186981934822,0.28273945527450917,0.25749151134546483,0.7581824999274152,0.6475409411421204,32.042991515198366
trial_015,molecular_function,0.00045131410564700424,0.00043748328296366727,0.2,512,32,5.0,9,BCE,,0.34518577706702336,0.3369962768986264,0.2649116211673346,0.2736668542250982,0.7948507112084989,0.6867246864001845,25.286698001227908
trial_016,biological_process,0.0020990502637142747,0.0009508030792802778,0.0,512,16,0.5,10,Focal,1.0,0.14353085913430869,0.24067270783478809,0.07176251723127294,0.15536381850825845,0.8871503803265156,0.7142352239446057,48.32099356680549
trial_016,cellular_component,0.0020990502637142747,0.0009508030792802778,0.0,512,16,0.5,10,Focal,1.0,0.45126439109983313,0.3714585761708389,0.37668311440899865,0.28173755801863026,0.8842075487261281,0.6748528352815357,32.043162283377626
trial_016,molecular_function,0.0020990502637142747,0.0009508030792802778,0.0,512,16,0.5,10,Focal,1.0,0.23652048885644122,0.3305087118321582,0.1870084200422541,0.2573632040068156,0.865180279952174,0.8026812421144407,26.11902337836782
trial_017,biological_process,0.0026040317360329322,0.00021063082945376086,0.1,512,16,5.0,9,Focal,3.0,0.08923051559960203,0.22372638428418776,0.04030964039597745,0.15215976924957839,0.8662707449844755,0.6959283377782883,50.53437582545285
trial_017,cellular_component,0.0026040317360329322,0.00021063082945376086,0.1,512,16,5.0,9,Focal,3.0,0.35102627386001745,0.32891469586353506,0.22908006693405134,0.2603261781053926,0.8338714352836607,0.6403072550889916,34.58081275949027
trial_017,molecular_function,0.0026040317360329322,0.00021063082945376086,0.1,512,16,5.0,9,Focal,3.0,0.18784479161804438,0.3305364443302302,0.08965912588519165,0.2446430579974926,0.871206294076057,0.80592044581162,29.40415613260734
